Episode,Reward,Length,TD_Error
453,-677.0,200,151.6743483806759
454,-839.0,200,144.50289678334082
455,-776.0,200,117.55478839412669
456,-794.0,200,156.54461404311547
457,-794.0,200,253.73998282693793
458,-821.0,200,151.188256043382
459,-785.0,200,143.69631521532938
460,-884.0,200,216.31932422928764
461,-893.0,200,150.73564790872103
462,-767.0,200,90.05860082931423
463,-659.0,200,87.1428891630998
464,-767.0,200,121.91934880598535
465,-929.0,200,133.75132882154224
466,-848.0,200,258.4033466059475
467,-875.0,200,130.09664257732305
468,-749.0,200,119.04694997940123
469,-893.0,200,129.86498060174642
470,-776.0,200,96.34098404559609
471,-902.0,200,198.85341739089267
472,-857.0,200,126.02237586397234
473,-794.0,200,136.30359907866819
474,-884.0,200,182.84516823473632
475,-640.0,193,118.72763193695602
476,-704.0,200,108.1067943694336
477,-911.0,200,194.0642735039222
478,-830.0,200,192.55048806393324
479,-776.0,200,124.97966528753346
480,-731.0,200,143.0938392626755
481,-875.0,200,147.07478326042553
482,-875.0,200,255.06964602078978
483,-830.0,200,175.9729039094695
484,-749.0,200,129.86863623922528
485,-812.0,200,113.71791064436167
486,-686.0,200,117.38661321434154
487,-785.0,200,147.14152631920194
488,-848.0,200,154.4404618196169
489,-650.0,200,105.5477726551118
490,-866.0,200,131.78330005897095
491,-749.0,200,133.88404506094855
492,-857.0,200,103.90969896294894
493,-749.0,200,126.42305331467179
494,-740.0,200,105.94425338618237
495,-767.0,200,128.0583647113915
496,-884.0,200,165.54487786706466
497,-785.0,200,210.08602902080298
498,-830.0,200,191.05644265213152
499,-713.0,200,102.45437645869211
500,-785.0,200,119.22025963951842
501,-474.0,117,44.160715579025464
502,-839.0,200,270.56547861275874
503,-821.0,200,99.58204201474848
504,-722.0,200,163.8154325788833
505,-857.0,200,193.75380155289395
506,-329.0,89,68.35286404244846
507,-239.0,80,50.56999678986767
508,-776.0,200,149.18267510509764
509,-839.0,200,151.11598564931825
510,-821.0,200,126.54485755841597
511,-857.0,200,148.38027146094169
512,-794.0,200,117.13928811014256
513,-803.0,200,189.17428459669839
514,-830.0,200,221.03710606747353
515,-866.0,200,130.74422165318225
516,-875.0,200,162.92098390176187
517,-821.0,200,109.49112627687316
518,-920.0,200,264.4595993391058
519,-848.0,200,127.74396101436554
520,-884.0,200,189.02764445006153
521,-902.0,200,173.63683916797578
522,-821.0,200,147.16155168836332
523,-776.0,200,134.1026795895945
524,-776.0,200,136.5234272850335
525,-830.0,200,144.0901720647458
526,-782.0,191,124.46694884458464
527,-749.0,200,120.85941768759557
528,-696.0,186,167.31276299940748
529,-758.0,200,208.91419520712202
530,-884.0,200,194.37867268841842
531,-731.0,200,168.38522218820157
532,-911.0,200,150.9985065566417
533,-740.0,200,184.54407109816162
534,-848.0,200,141.8154778104526
535,-911.0,200,181.77444042001508
536,-776.0,200,93.36785451248045
537,-812.0,200,133.13130112460772
538,-812.0,200,128.1339299965651
539,-731.0,200,121.03436105971758
540,-821.0,200,177.90304307012696
541,-722.0,200,143.5160774420791
542,-758.0,200,95.78371096916811
543,-641.0,200,120.42681557067829
544,-794.0,200,111.59772095215828
545,-749.0,200,130.15864802451165
546,-785.0,200,126.14893856234289
547,-812.0,200,100.40380031727256
548,-713.0,200,122.59956883320194
549,-794.0,200,226.45398796426832
550,-767.0,200,79.24353123235863
551,-803.0,200,125.05693126366072
552,-758.0,200,110.61851804909026
553,-740.0,200,175.7455157398678
554,-749.0,200,101.97425056489078
555,-722.0,200,95.18655813028539
556,-740.0,200,101.2652491973517
557,-198.0,57,51.31405560985189
558,-812.0,200,149.63775431879213
559,-848.0,200,185.81423276975477
560,-677.0,200,178.09724574299923
561,-830.0,200,123.34718968125304
562,-839.0,200,131.05277148822108
563,-956.0,200,193.97183099045367
564,-839.0,200,109.67540176155927
565,-857.0,200,132.1979105403795
